Input,Output
these results indicate that the _LOCATION_ localization pattern is a bona fide _PROTEIN_ localization .,Y
to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _PROTEIN_ _METHOD_ fusion protein and was detected in _LOCATION_ and _BLANKL_,Y
the fluorescence of _PROTEIN_ _METHOD_ did not overlap with the fluorescence of tp ssrubisco yfp as _BLANKP_ is mostly found within the _LOCATION_ .,Y
furthermore we often observed cfp containing nuclei surrounded by chloroplasts that appeared to be connected to the nucleus through stromules suggesting that _PROTEIN_ _LOCATION_ localization depends on stromule mediated transport .,Y
to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _PROTEIN_ _METHOD_ fusion protein and was detected in _BLANKL_ and _LOCATION_,Y
the t dna containing binary vector yfp encoding a. thaliana fused to yfp _PROTEIN_ _METHOD_ is under the expression of its native promoter and was used as a nuclear marker .,Y
_BLANKP_ _BLANKM_ localizes to the _BLANKL_ and surrounds _PROTEIN_ _METHOD_ confirming that it localizes to the _LOCATION_ .,Y
_BLANKP_ _PROTEIN_ are found within the main body of _BLANKL_ and in _LOCATION_ while _BLANKP_ is found within the _BLANKL_ and does not co localize with tp ssrubisco yfp .,Y
to confirm this finding cfp was co infiltrated with a _METHOD_ fusion to the nuclear marker _PROTEIN_ a component of the _LOCATION_ in a. thaliana that was previously shown to localize to the nuclear membrane .,Y
_PROTEIN_ is found in the _BLANKL_ in addition to its _LOCATION_ localization only _BLANKP_ _BLANKM_ was also detected in _BLANKL_ at dpi .,Y
_PROTEIN_ _BLANKP_ are found within the main body of _LOCATION_ and in _BLANKL_ while _BLANKP_ is found within the _BLANKL_ and does not co localize with tp ssrubisco yfp .,Y
_PROTEIN_ _BLANKM_ _METHOD_ proteins are unique as they are the only full length adt proteins that were found in the _LOCATION_ .,Y
to test if stromule formation affects the _LOCATION_ localization of _PROTEIN_ we,Y
to determine if the ability to form stromules affects _LOCATION_ localization of _PROTEIN_ cfp was co expressed with the empty pcb vector dnmyoxi or dnmyoxi k/gtd .,Y
as these results were obtained with constructs using a camv promoter we repeated the experiment and expressed _PROTEIN_ _METHOD_ under control of its native promoter and confirmed the _LOCATION_ localization pattern .,Y
_PROTEIN_ is found in the _LOCATION_ .,Y
_BLANKP_ _PROTEIN_ localized to _LOCATION_ and to areas seemingly close to the chloroplast just outside of the autofluorescence signal generated by chlorophyll .,Y
_PROTEIN_ is found in the _LOCATION_ in addition to its _BLANKL_ localization only _BLANKP_ _BLANKM_ was also detected in _BLANKL_ at dpi .,Y
_BLANKP_ is found in the _BLANKL_ in addition to its _BLANKL_ localization only _PROTEIN_ _METHOD_ was also detected in _LOCATION_ at dpi .,Y
_BLANKP_ _PROTEIN_ are found within the main body of _LOCATION_ and in _BLANKL_ while _BLANKP_ is found within the _BLANKL_ and does not co localize with tp ssrubisco yfp .,Y
_PROTEIN_ _METHOD_ localizes to the _LOCATION_ and surrounds _BLANKP_ _BLANKM_ confirming that it localizes to the _BLANKL_ .,Y
_PROTEIN_ _BLANKP_ are found within the main body of _BLANKL_ and in _LOCATION_ while _BLANKP_ is found within the _BLANKL_ and does not co localize with tp ssrubisco yfp .,Y
as in n. benthamiana all adt cfps in a. thaliana with the exception of _PROTEIN_ _METHOD_ which appeared in the _LOCATION_ exhibited _BLANKL_ and stromule like patterns .,Y
_BLANKP_ _BLANKP_ localized to _LOCATION_ and to areas seemingly close to the chloroplast just outside of the autofluorescence signal generated by chlorophyll . they often appear either in thread like structures _PROTEIN_ or globular structures _BLANKP_ .,Y
as _PROTEIN_ _METHOD_ localizes to the _LOCATION_ this result confirms that _BLANKP_ _BLANKM_ is contained within the _BLANKL_ and localizes uniformly throughout the _BLANKL_ .,Y
as in n. benthamiana all adt cfps in a. thaliana with the exception of _PROTEIN_ _METHOD_ which appeared in the _BLANKL_ exhibited _LOCATION_ and stromule like patterns .,Y
as _BLANKP_ _BLANKM_ localizes to the _BLANKL_ this result confirms that _PROTEIN_ _METHOD_ is contained within the _LOCATION_ and localizes uniformly throughout the _BLANKL_ .,Y
the blot showing _PROTEIN_ _METHOD_ under the control of its native promoter shows a shadow band of the size of cfp and yet a very clear _LOCATION_ localization is evident .,Y
the _PROTEIN_ _METHOD_ pattern is distinctly different showing a _LOCATION_ distribution .,Y
as _BLANKP_ _BLANKM_ localizes to the _BLANKL_ this result confirms that _PROTEIN_ _METHOD_ is contained within the _BLANKL_ and localizes uniformly throughout the _LOCATION_ .,Y
both images show _PROTEIN_ _METHOD_ within _LOCATION_ .,Y
the presence of _PROTEIN_ in the _LOCATION_ is affected by the ability to form stromules .,Y
similarly the unique localization patterns of _BLANKP_ _BLANKM_ and _PROTEIN_ _METHOD_ were observed in a. thaliana localizing to the equatorial plane and poles of _LOCATION_ and to nuclei respectively .,Y
the fluorescence of _BLANKP_ _BLANKM_ did not overlap with the fluorescence of tp ssrubisco yfp as _PROTEIN_ is mostly found within the _LOCATION_ .,Y
ase i and the expected bp fragment encoding flanked by att l sites was isolated and recombined into the destination vector generating an _PROTEIN_ _METHOD_ fusion construct with expression regulated by the camv promoter .,Y
unlike _PROTEIN_ did not localize to chloroplasts but was mostly present in the _LOCATION_ .,Y
_BLANKP_ _BLANKP_ localized to _LOCATION_ and to areas seemingly close to the chloroplast just outside of the autofluorescence signal generated by chlorophyll . they often appear either in thread like structures _BLANKP_ or globular structures _PROTEIN_ .,Y
similarly the unique localization patterns of _PROTEIN_ _METHOD_ and _BLANKP_ _BLANKM_ were observed in a. thaliana localizing to the equatorial plane and poles of _LOCATION_ and to nuclei respectively .,Y
_LOCATION_ localization of _PROTEIN_ _METHOD_ .,Y
_BLANKP_ _BLANKP_ are found within the main body of _BLANKL_ and in _BLANKL_ while _PROTEIN_ is found within the _LOCATION_ and does not co localize with tp ssrubisco yfp .,Y
_PROTEIN_ _BLANKP_ localized to _LOCATION_ and to areas seemingly close to the chloroplast just outside of the autofluorescence signal generated by chlorophyll .,Y
the blot showing _PROTEIN_ _METHOD_ under the control of its native promoter shows a shadow band of the size of cfp and yet a very clear _BLANKL_ localization is evident . these results indicate that the _LOCATION_ localization pattern is a bona fide _BLANKP_ localization .,N
the blot showing _BLANKP_ _METHOD_ under the control of its native promoter shows a shadow band of the size of cfp and yet a very clear _LOCATION_ localization is evident . these results indicate that the _BLANKL_ localization pattern is a bona fide _PROTEIN_ localization .,N
the blot showing _BLANKP_ _METHOD_ under the control of its native promoter shows a shadow band of the size of cfp and yet a very clear _BLANKL_ localization is evident . these results indicate that the _LOCATION_ localization pattern is a bona fide _PROTEIN_ localization .,N
_PROTEIN_ is found in the _LOCATION_ . _BLANKP_ _METHOD_ _BLANKM_ proteins are unique as they are the only full length adt proteins that were found in the _BLANKL_ .,N
_PROTEIN_ is found in the _BLANKL_ . _BLANKP_ _METHOD_ _BLANKM_ proteins are unique as they are the only full length adt proteins that were found in the _LOCATION_ .,N
_PROTEIN_ is found in the _LOCATION_ . _BLANKP_ _BLANKM_ _METHOD_ proteins are unique as they are the only full length adt proteins that were found in the _BLANKL_ .,N
_PROTEIN_ is found in the _BLANKL_ . _BLANKP_ _BLANKM_ _METHOD_ proteins are unique as they are the only full length adt proteins that were found in the _LOCATION_ .,N
_BLANKP_ is found in the _LOCATION_ . _PROTEIN_ _METHOD_ _BLANKM_ proteins are unique as they are the only full length adt proteins that were found in the _BLANKL_ .,N
_PROTEIN_ _METHOD_ _BLANKM_ proteins are unique as they are the only full length adt proteins that were found in the _LOCATION_ .,N
_BLANKP_ is found in the _LOCATION_ . _PROTEIN_ _BLANKM_ _METHOD_ proteins are unique as they are the only full length adt proteins that were found in the _BLANKL_ .,N
_PROTEIN_ _METHOD_ localizes to the _BLANKL_ and surrounds _BLANKP_ _BLANKM_ confirming that it localizes to the _LOCATION_ .,N
_PROTEIN_ _BLANKM_ localizes to the _LOCATION_ and surrounds _BLANKP_ _METHOD_ confirming that it localizes to the _BLANKL_ .,N
_PROTEIN_ _BLANKM_ localizes to the _BLANKL_ and surrounds _BLANKP_ _METHOD_ confirming that it localizes to the _LOCATION_ .,N
_BLANKP_ _METHOD_ localizes to the _LOCATION_ and surrounds _PROTEIN_ _BLANKM_ confirming that it localizes to the _BLANKL_ .,N
_BLANKP_ _METHOD_ localizes to the _BLANKL_ and surrounds _PROTEIN_ _BLANKM_ confirming that it localizes to the _LOCATION_ .,N
_BLANKP_ _BLANKM_ localizes to the _LOCATION_ and surrounds _PROTEIN_ _METHOD_ confirming that it localizes to the _BLANKL_ .,N
the fluorescence of _PROTEIN_ _METHOD_ did not overlap with the fluorescence of tp ssrubisco yfp as _BLANKP_ is mostly found within the _BLANKL_ . to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _BLANKP_ _BLANKM_ fusion protein and was detected in _LOCATION_ and _BLANKL_,N
the fluorescence of _PROTEIN_ _METHOD_ did not overlap with the fluorescence of tp ssrubisco yfp as _BLANKP_ is mostly found within the _BLANKL_ . to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _BLANKP_ _BLANKM_ fusion protein and was detected in _BLANKL_ and _LOCATION_,N
the fluorescence of _PROTEIN_ _BLANKM_ did not overlap with the fluorescence of tp ssrubisco yfp as _BLANKP_ is mostly found within the _LOCATION_ . to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _BLANKP_ _METHOD_ fusion protein and was detected in _BLANKL_ and _BLANKL_,N
the fluorescence of _PROTEIN_ _BLANKM_ did not overlap with the fluorescence of tp ssrubisco yfp as _BLANKP_ is mostly found within the _BLANKL_ . to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _BLANKP_ _METHOD_ fusion protein and was detected in _LOCATION_ and _BLANKL_,N
the fluorescence of _PROTEIN_ _BLANKM_ did not overlap with the fluorescence of tp ssrubisco yfp as _BLANKP_ is mostly found within the _BLANKL_ . to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _BLANKP_ _METHOD_ fusion protein and was detected in _BLANKL_ and _LOCATION_,N
the fluorescence of _BLANKP_ _METHOD_ did not overlap with the fluorescence of tp ssrubisco yfp as _PROTEIN_ is mostly found within the _LOCATION_ .,N
the fluorescence of _BLANKP_ _METHOD_ did not overlap with the fluorescence of tp ssrubisco yfp as _PROTEIN_ is mostly found within the _BLANKL_ . to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _BLANKP_ _BLANKM_ fusion protein and was detected in _LOCATION_ and _BLANKL_,N
the fluorescence of _BLANKP_ _METHOD_ did not overlap with the fluorescence of tp ssrubisco yfp as _PROTEIN_ is mostly found within the _BLANKL_ . to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _BLANKP_ _BLANKM_ fusion protein and was detected in _BLANKL_ and _LOCATION_,N
the fluorescence of _BLANKP_ _BLANKM_ did not overlap with the fluorescence of tp ssrubisco yfp as _PROTEIN_ is mostly found within the _LOCATION_ . to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _BLANKP_ _METHOD_ fusion protein and was detected in _BLANKL_ and _BLANKL_,N
the fluorescence of _BLANKP_ _BLANKM_ did not overlap with the fluorescence of tp ssrubisco yfp as _PROTEIN_ is mostly found within the _BLANKL_ . to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _BLANKP_ _METHOD_ fusion protein and was detected in _LOCATION_ and _BLANKL_,N
the fluorescence of _BLANKP_ _BLANKM_ did not overlap with the fluorescence of tp ssrubisco yfp as _PROTEIN_ is mostly found within the _BLANKL_ . to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _BLANKP_ _METHOD_ fusion protein and was detected in _BLANKL_ and _LOCATION_,N
the fluorescence of _BLANKP_ _METHOD_ did not overlap with the fluorescence of tp ssrubisco yfp as _BLANKP_ is mostly found within the _LOCATION_ . to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _PROTEIN_ _BLANKM_ fusion protein and was detected in _BLANKL_ and _BLANKL_,N
the fluorescence of _BLANKP_ _METHOD_ did not overlap with the fluorescence of tp ssrubisco yfp as _BLANKP_ is mostly found within the _BLANKL_ . to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _PROTEIN_ _BLANKM_ fusion protein and was detected in _LOCATION_ and _BLANKL_,N
the fluorescence of _BLANKP_ _METHOD_ did not overlap with the fluorescence of tp ssrubisco yfp as _BLANKP_ is mostly found within the _BLANKL_ . to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _PROTEIN_ _BLANKM_ fusion protein and was detected in _BLANKL_ and _LOCATION_,N
the fluorescence of _BLANKP_ _BLANKM_ did not overlap with the fluorescence of tp ssrubisco yfp as _BLANKP_ is mostly found within the _LOCATION_ . to determine if the tp domain of adts is responsible for chloroplast and stromule localization the tp sequence was expressed as a _PROTEIN_ _METHOD_ fusion protein and was detected in _BLANKL_ and _BLANKL_,N
_BLANKP_ _BLANKP_ localized to _LOCATION_ and to areas seemingly close to the chloroplast just outside of the autofluorescence signal generated by chlorophyll . they often appear either in thread like structures _PROTEIN_ or globular structures _BLANKP_ . the _BLANKP_ _METHOD_ pattern is distinctly different showing a _BLANKL_ distribution .,N
they often appear either in thread like structures _PROTEIN_ or globular structures _BLANKP_ . the _BLANKP_ _METHOD_ pattern is distinctly different showing a _LOCATION_ distribution .,N
