Input,Output
the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _PROTEIN_ _METHOD_ was found at the cell periphery corresponding to _LOCATION_ localized _BLANKP_ .,Y
transient expression of _PROTEIN_ _METHOD_ fusion proteins p _BLANKP_ _BLANKM_ or p _BLANKP_ _BLANKM_ were purified using a qiaprep spin miniprep kit .,Y
a maximum intensity projection indicates that fluorescence was also observed in the _LOCATION_ and _BLANKL_ likely corresponding to soluble _PROTEIN_ _METHOD_ fusion protein .,Y
these data confirm that a substantial proportion of _PROTEIN_ is localized to the _LOCATION_ and that the amino terminal glycine residue is required for membrane binding .,Y
the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _BLANKP_ _BLANKM_ was found at the cell periphery corresponding to _LOCATION_ localized _PROTEIN_ .,Y
transient expression of _BLANKP_ _BLANKM_ fusion proteins p _BLANKP_ _BLANKM_ or p _PROTEIN_ _METHOD_ were purified using a qiaprep spin miniprep kit .,Y
_METHOD_ fusions confirm _LOCATION_ localization of _PROTEIN_ to confirm the plasma membrane localization of a construct containing the first amino acids of _BLANKP_ fused to _BLANKM_ was used for transient expression in arabidopsis .,Y
_PROTEIN_ _METHOD_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy .,Y
a maximum intensity projection indicates that fluorescence was also observed in the _BLANKL_ and _LOCATION_ likely corresponding to soluble _PROTEIN_ _METHOD_ fusion protein .,Y
for constructs p _BLANKP_ _BLANKM_ and p _PROTEIN_ _METHOD_ the gus coding sequence in gus and gus was replaced with the coding sequence for soluble modified red shifted green fluorescent protein .,Y
transient expression of _BLANKP_ _BLANKM_ fusion proteins p _PROTEIN_ _METHOD_ or p _BLANKP_ _BLANKM_ were purified using a qiaprep spin miniprep kit .,Y
for constructs p _PROTEIN_ _METHOD_ and p _BLANKP_ _BLANKM_ the gus coding sequence in gus and gus was replaced with the coding sequence for soluble modified red shifted green fluorescent protein .,Y
_LOCATION_ localization of _PROTEIN_ requires glycine .,Y
in cells expressing the non myristoylated _PROTEIN_ _METHOD_ fusion protein fluorescence was localized primarily in the _LOCATION_ and _BLANKL_ in a pattern similar to free gfp .,Y
in cells expressing the non myristoylated _PROTEIN_ _METHOD_ fusion protein fluorescence was localized primarily in the _BLANKL_ and _LOCATION_ in a pattern similar to free gfp .,Y
_BLANKM_ fusions confirm _BLANKL_ localization of _BLANKP_ to confirm the plasma membrane localization of a construct containing the first amino acids of _PROTEIN_ fused to _METHOD_ was used for transient expression in arabidopsis .,Y
_BLANKM_ fusions confirm _LOCATION_ localization of _PROTEIN_ to confirm the plasma membrane localization of a construct containing the first amino acids of _BLANKP_ fused to _METHOD_ was used for transient expression in arabidopsis .,N
_BLANKM_ fusions confirm _LOCATION_ localization of _PROTEIN_ to confirm the plasma membrane localization of a construct containing the first amino acids of _BLANKP_ fused to _BLANKM_ was used for transient expression in arabidopsis . _BLANKP_ _METHOD_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy .,N
_BLANKM_ fusions confirm _BLANKL_ localization of _PROTEIN_ to confirm the plasma membrane localization of a construct containing the first amino acids of _BLANKP_ fused to _BLANKM_ was used for transient expression in arabidopsis . _BLANKP_ _METHOD_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy . the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _BLANKP_ _BLANKM_ was found at the cell periphery corresponding to _LOCATION_ localized _BLANKP_ .,N
_METHOD_ fusions confirm _LOCATION_ localization of _BLANKP_ to confirm the plasma membrane localization of a construct containing the first amino acids of _PROTEIN_ fused to _BLANKM_ was used for transient expression in arabidopsis .,N
_BLANKM_ fusions confirm _LOCATION_ localization of _BLANKP_ to confirm the plasma membrane localization of a construct containing the first amino acids of _PROTEIN_ fused to _METHOD_ was used for transient expression in arabidopsis .,N
_BLANKM_ fusions confirm _LOCATION_ localization of _BLANKP_ to confirm the plasma membrane localization of a construct containing the first amino acids of _PROTEIN_ fused to _BLANKM_ was used for transient expression in arabidopsis . _BLANKP_ _METHOD_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy .,N
_BLANKM_ fusions confirm _BLANKL_ localization of _BLANKP_ to confirm the plasma membrane localization of a construct containing the first amino acids of _PROTEIN_ fused to _BLANKM_ was used for transient expression in arabidopsis . _BLANKP_ _METHOD_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy . the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _BLANKP_ _BLANKM_ was found at the cell periphery corresponding to _LOCATION_ localized _BLANKP_ .,N
_METHOD_ fusions confirm _LOCATION_ localization of _BLANKP_ to confirm the plasma membrane localization of a construct containing the first amino acids of _BLANKP_ fused to _BLANKM_ was used for transient expression in arabidopsis . _PROTEIN_ _BLANKM_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy .,N
_METHOD_ fusions confirm _BLANKL_ localization of _BLANKP_ to confirm the plasma membrane localization of a construct containing the first amino acids of _BLANKP_ fused to _BLANKM_ was used for transient expression in arabidopsis . _PROTEIN_ _BLANKM_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy . the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _BLANKP_ _BLANKM_ was found at the cell periphery corresponding to _LOCATION_ localized _BLANKP_ .,N
_BLANKM_ fusions confirm _LOCATION_ localization of _BLANKP_ to confirm the plasma membrane localization of a construct containing the first amino acids of _BLANKP_ fused to _METHOD_ was used for transient expression in arabidopsis . _PROTEIN_ _BLANKM_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy .,N
_BLANKM_ fusions confirm _BLANKL_ localization of _BLANKP_ to confirm the plasma membrane localization of a construct containing the first amino acids of _BLANKP_ fused to _METHOD_ was used for transient expression in arabidopsis . _PROTEIN_ _BLANKM_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy . the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _BLANKP_ _BLANKM_ was found at the cell periphery corresponding to _LOCATION_ localized _BLANKP_ .,N
_BLANKM_ fusions confirm _LOCATION_ localization of _BLANKP_ to confirm the plasma membrane localization of a construct containing the first amino acids of _BLANKP_ fused to _BLANKM_ was used for transient expression in arabidopsis . _PROTEIN_ _METHOD_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy .,N
_PROTEIN_ _METHOD_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy . the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _BLANKP_ _BLANKM_ was found at the cell periphery corresponding to _LOCATION_ localized _BLANKP_ .,N
_BLANKM_ fusions confirm _LOCATION_ localization of _BLANKP_ to confirm the plasma membrane localization of a construct containing the first amino acids of _BLANKP_ fused to _BLANKM_ was used for transient expression in arabidopsis . _PROTEIN_ _BLANKM_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy . the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _BLANKP_ _METHOD_ was found at the cell periphery corresponding to _BLANKL_ localized _BLANKP_ .,N
_PROTEIN_ _BLANKM_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy . the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _BLANKP_ _METHOD_ was found at the cell periphery corresponding to _LOCATION_ localized _BLANKP_ .,N
_PROTEIN_ _BLANKM_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy . the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _BLANKP_ _METHOD_ was found at the cell periphery corresponding to _BLANKL_ localized _BLANKP_ . a maximum intensity projection indicates that fluorescence was also observed in the _LOCATION_ and _BLANKL_ likely corresponding to soluble _BLANKP_ _BLANKM_ fusion protein .,N
_PROTEIN_ _BLANKM_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy . the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _BLANKP_ _METHOD_ was found at the cell periphery corresponding to _BLANKL_ localized _BLANKP_ . a maximum intensity projection indicates that fluorescence was also observed in the _BLANKL_ and _LOCATION_ likely corresponding to soluble _BLANKP_ _BLANKM_ fusion protein .,N
_PROTEIN_ _BLANKM_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy . the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _BLANKP_ _BLANKM_ was found at the cell periphery corresponding to _LOCATION_ localized _BLANKP_ . a maximum intensity projection indicates that fluorescence was also observed in the _BLANKL_ and _BLANKL_ likely corresponding to soluble _BLANKP_ _METHOD_ fusion protein .,N
_BLANKM_ fusions confirm _LOCATION_ localization of _BLANKP_ to confirm the plasma membrane localization of a construct containing the first amino acids of _BLANKP_ fused to _BLANKM_ was used for transient expression in arabidopsis . _BLANKP_ _METHOD_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy . the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _PROTEIN_ _BLANKM_ was found at the cell periphery corresponding to _BLANKL_ localized _BLANKP_ .,N
_BLANKP_ _METHOD_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy . the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _PROTEIN_ _BLANKM_ was found at the cell periphery corresponding to _LOCATION_ localized _BLANKP_ .,N
_BLANKP_ _METHOD_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy . the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _PROTEIN_ _BLANKM_ was found at the cell periphery corresponding to _BLANKL_ localized _BLANKP_ . a maximum intensity projection indicates that fluorescence was also observed in the _LOCATION_ and _BLANKL_ likely corresponding to soluble _BLANKP_ _BLANKM_ fusion protein .,N
_BLANKP_ _METHOD_ was bombarded into arabidopsis leaves and expression in epidermal cells was examined by confocal microscopy . the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _PROTEIN_ _BLANKM_ was found at the cell periphery corresponding to _BLANKL_ localized _BLANKP_ . a maximum intensity projection indicates that fluorescence was also observed in the _BLANKL_ and _LOCATION_ likely corresponding to soluble _BLANKP_ _BLANKM_ fusion protein .,N
the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _PROTEIN_ _METHOD_ was found at the cell periphery corresponding to _BLANKL_ localized _BLANKP_ . a maximum intensity projection indicates that fluorescence was also observed in the _LOCATION_ and _BLANKL_ likely corresponding to soluble _BLANKP_ _BLANKM_ fusion protein .,N
the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _PROTEIN_ _METHOD_ was found at the cell periphery corresponding to _BLANKL_ localized _BLANKP_ . a maximum intensity projection indicates that fluorescence was also observed in the _BLANKL_ and _LOCATION_ likely corresponding to soluble _BLANKP_ _BLANKM_ fusion protein .,N
the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _PROTEIN_ _BLANKM_ was found at the cell periphery corresponding to _LOCATION_ localized _BLANKP_ . a maximum intensity projection indicates that fluorescence was also observed in the _BLANKL_ and _BLANKL_ likely corresponding to soluble _BLANKP_ _METHOD_ fusion protein .,N
the quantitative gus assay data presented earlier indicated that of was plasma membrane associated and it is evident from a single optical section near the midpoint of the cell that _PROTEIN_ _BLANKM_ was found at the cell periphery corresponding to _BLANKL_ localized _BLANKP_ . a maximum intensity projection indicates that fluorescence was also observed in the _LOCATION_ and _BLANKL_ likely corresponding to soluble _BLANKP_ _METHOD_ fusion protein .,N
