Input,Output
and _PROTEIN_ _METHOD_ tagged exocyst subunits did not exhibit such behavior and their signal persisted completely at the _LOCATION_ .,Y
results exocyst subunits colocalize in distinct foci at the plasma membrane in arabidopsis thaliana green fluorescent protein _METHOD_ tagged exocyst subunits _BLANKP_ _BLANKP_ _BLANKP_ and _PROTEIN_ are enriched at the outer _LOCATION_ of root epidermal cells and localize strongly to postcytokinetic _BLANKL_ .,Y
_BLANKM_ _BLANKP_ localizes to epidermal _BLANKL_ and _BLANKL_ and _BLANKP_ _BLANKM_ signal is prominent at the outer epidermal _BLANKL_ whereas _PROTEIN_ _METHOD_ is evenly distributed along the entire _LOCATION_ the seemingly stronger signal of the intercellular membranes results from summing of the adjacent pm signal .,Y
_PROTEIN_ _METHOD_ foci density in wild type and mutant cells error bars sds n and cells for and wild type respectively .,Y
_METHOD_ _PROTEIN_ localizes to the lateral _BLANKL_ and _LOCATION_ in the wild type and phenotypic wild type cells .,Y
_METHOD_ _PROTEIN_ was transformed into a. thaliana expressing _BLANKP_ _BLANKM_ using the floral dip method .,Y
results exocyst subunits colocalize in distinct foci at the plasma membrane in arabidopsis thaliana green fluorescent protein _METHOD_ tagged exocyst subunits _PROTEIN_ _BLANKP_ _BLANKP_ and _BLANKP_ are enriched at the outer _LOCATION_ of root epidermal cells and localize strongly to postcytokinetic _BLANKL_ .,Y
expressing _PROTEIN_ were kindly provided by m. h. sato and morange by s. bednarek . generation of crosses between plants expressing _METHOD_ and mrfp or gfp and morange tagged proteins was used for evaluation of possible colocalization in the case of colocalization generation seedlings were used .,Y
results exocyst subunits colocalize in distinct foci at the plasma membrane in arabidopsis thaliana green fluorescent protein _METHOD_ tagged exocyst subunits _PROTEIN_ _BLANKP_ _BLANKP_ and _BLANKP_ are enriched at the outer _BLANKL_ of root epidermal cells and localize strongly to postcytokinetic _LOCATION_ .,Y
to observe _BLANKP_ _BLANKM_ foci in the mutant we transformed the line with the _PROTEIN_ _METHOD_ construct using the floral dip method .,Y
_BLANKM_ _BLANKP_ localizes to epidermal _BLANKL_ and _BLANKL_ and _PROTEIN_ _METHOD_ signal is prominent at the outer epidermal _LOCATION_ whereas _BLANKP_ _BLANKM_ is evenly distributed along the entire _BLANKL_ the seemingly stronger signal of the intercellular membranes results from summing of the adjacent pm signal .,Y
we further analyzed the localization of _METHOD_ _PROTEIN_ in the mutant which is less severely affected and its cell types can be directly compared with wild type . in lateral _LOCATION_ domain localization typically decreased and the signal in the _BLANKL_ compartments increased,Y
results exocyst subunits colocalize in distinct foci at the plasma membrane in arabidopsis thaliana green fluorescent protein _METHOD_ tagged exocyst subunits _BLANKP_ _PROTEIN_ _BLANKP_ and _BLANKP_ are enriched at the outer _LOCATION_ of root epidermal cells and localize strongly to postcytokinetic _BLANKL_ .,Y
we further analyzed the localization of _METHOD_ _PROTEIN_ in the mutant which is less severely affected and its cell types can be directly compared with wild type . in lateral _BLANKL_ domain localization typically decreased and the signal in the _LOCATION_ compartments increased,Y
_METHOD_ _PROTEIN_ localizes to epidermal _LOCATION_ and _BLANKL_ and _BLANKP_ _BLANKM_ signal is prominent at the outer epidermal _BLANKL_ whereas _BLANKP_ _BLANKM_ is evenly distributed along the entire _BLANKL_ the seemingly stronger signal of the intercellular membranes results from summing of the adjacent pm signal .,Y
