Input,Output
the analysis of the subcellular localiza _PROTEIN_ _METHOD_ rfp showed that it is predominantly although not exclusively localized _LOCATION_ ytoplasm in onion epidermal cells,Y
in addi _PROTEIN_ was able to redirec _METHOD_ he gfp t _LOCATION_ ucleus when using the high molecular weight gfp gus fusion protein .,Y
interestingly when th _PROTEIN_ f _METHOD_ fp was wit _BLANKP_ p _BLANKM_ fp both proteins predominantly in th _LOCATION_ es observed for gfp fusion protein .,Y
wh _PROTEIN_ of was fu _METHOD_ to gfp the green fluorescence was predominantly detected _BLANKL_ toplasm forming characte _LOCATION_ peckles or inclusion bodies,Y
interestingly when th _BLANKP_ f _BLANKM_ fp was wit _PROTEIN_ p _METHOD_ fp both proteins predominantly in th _LOCATION_ es observed for gfp fusion protein .,Y
subcellular localization of showed that the protein fusion _PROTEIN_ _METHOD_ n was mainly localized in the _LOCATION_ m .,Y
_PROTEIN_ o _METHOD_ _BLANKP_ _BLANKM_ rf _LOCATION_ cytoplasm supports the yeast results and suggests that the nes is responsible for the recruitment of into the cytoplasmic speckles .,Y
as summarized in figure when onion epidermal cells were bombarded with the _PROTEIN_ _METHOD_ gfp protein fusion or with _BLANKP_ minal part fuse _BLANKM_ o gfp protein green fluorescence was predominantly detected in _LOCATION_ cleus and no differences in nuclear staining between the entire and the fusion proteins were observed,Y
wh _PROTEIN_ of was fu _METHOD_ to gfp the green fluorescence was predominantly detected _LOCATION_ toplasm forming characte _BLANKL_ peckles or inclusion bodies,Y
_BLANKP_ o _BLANKM_ _PROTEIN_ _METHOD_ rf _LOCATION_ cytoplasm supports the yeast results and suggests that the nes is responsible for the recruitment of into the cytoplasmic speckles .,Y
as summarized in figure when onion epidermal cells were bombarded with the _BLANKP_ _BLANKM_ gfp protein fusion or with _PROTEIN_ minal part fuse _METHOD_ o gfp protein green fluorescence was predominantly detected in _LOCATION_ cleus and no differences in nuclear staining between the entire and the fusion proteins were observed,Y
however after o _PROTEIN_ f _METHOD_ fp an _BLANKP_ p _BLANKM_ fp both proteins in th _LOCATION_ us .,Y
to investigate a possible interaction betw _PROTEIN_ _BLANKP_ in living plant cells we analysed their subcellular localization as fusion proteins _BLANKM_ tein _METHOD_ rfp in living onion epidermal cells .,Y
